Place	County	Nearby Town	Size(acres)	Littoral zone(acres)	Max depth(ft)	Water Clarity(ft)	State	Country
Lake Evergreen	Hubbard	Lake George	200	87	38	21.5	Minnesota	US
Lake Fairy	Todd	Sauk Centre	297	140	37	N/A	Minnesota	US
Lake Fall	Lake	Winton	2173	1178	32	7	Minnesota	US
Lake Fannie	Isanti	Cambridge	366	308	33	6.2	Minnesota	US
Lake Farm	Lake	Ely	1328	459	56	8	Minnesota	US
Lake Farm Island	Aitkin	Bennettville	2054	883	56	11	Minnesota	US
Lake Fenske	St. Louis	Ely	105	63	43	14	Minnesota	US
Lake Fifteen	Clay	Hawley	139	99	22	8	Minnesota	US
Lake Fifth Crow Wing	Hubbard	Nevis	392	196	35	4.9	Minnesota	US
Lake First Crow Wing	Hubbard	Hubbard	526	526	15	12.5	Minnesota	US
Lake First Fulda	Murray	Fulda	179	179	7	1	Minnesota	US
Lake Fish	Chisago	Harris	306	141	57	10	Minnesota	US
Lake Fish	Hennepin	Maple Grove	223	45	48	2.7	Minnesota	US
Lake Fish	Jackson	Windom	300	150	26	5	Minnesota	US
Lake Fish	Otter Tail	Parkers Prairie	435	428	17	5	Minnesota	US
Lake Fish	Otter Tail	Pelican Rapids	261	127	69	9	Minnesota	US
Lake Fish	Otter Tail	Fergus Falls	888	888	19	4	Minnesota	US
Lake Fish	Scott	Prior Lake	171	74	28	6.5	Minnesota	US
Lake Fishhook	Hubbard	Park Rapids	1632	661	76	9.5	Minnesota	US
Lake Fiske	Otter Tail	Battle Lake	250	186	26	5.2	Minnesota	US
Lake Five	Otter Tail	Vergas	224	108	77	14	Minnesota	US
Lake Five Island(Ball)	Itasca	Effie	175	111	33	15	Minnesota	US
Lake Five Point	Cass	Hackensack	219	88	37	6	Minnesota	US
Lake Fleming	Aitkin	Palisade	296	290	15	n/a	Minnesota	US
Lake Floodwood	St. Louis	Goodland	328	157	55	7.5	Minnesota	US
Lake Florida	Kandiyohi	Spicer	674	267	40	10.5	Minnesota	US
Lake Flowage	Aitkin	McGregor	705	n/a	8	2	Minnesota	US
