name,place,county,state,country
Lake Horseshoe, Hubbard, Laporte, Minnesota, US
Lake Horseshoe, Itasca, Marcell, Minnesota, US
Lake Horseshoe, Lesueur, Waterville, Minnesota, US
Lake Horseshoe, Stearns, Richmond, Minnesota, US
Lake Howard, Wright, Howard Lake, Minnesota, US
Lake Hubert, Crow Wing, Nisswa, Minnesota, US
Lake Hungry, Becker, Frazee, Minnesota, US
Lake Ice Cracking, Becker, Ponsford, Minnesota, US
Lake Ida, Becker, Lake Park, Minnesota, US
Lake Ida, Douglas, Alexandria, Minnesota, US
Lake Ida, Wright, Monticello, Minnesota, US
Lake Ina, Douglas, Melby, Minnesota, US
Lake Independence, Hennepin, Maple Plain, Minnesota, US
Lake Indian, Wright, Silver Creek, Minnesota, US
Lake Inguadona, Cass, Longville, Minnesota, US
Lake Irene, Douglas, Miltona, Minnesota, US
Lake Irving, Beltrami, Bemidji, Minnesota, US
Lake Isabella, Lake, Isabella, Minnesota, US
Lake Island, Aitkin, Tamarack, Minnesota, US
Lake Island, Becker, Snellman, Minnesota, US
Lake Island, Hubbard, Park Rapids, Minnesota, US
Lake Island, Itasca, Northome, Minnesota, US
Lake Island, Mahnomen, Lengby, Minnesota, US
Lake Island, Pine, Sturgeon Lake, Minnesota, US
Lake Island, St. Louis, Goodland, Minnesota, US
Lake Island North, Carlton, Cromwell, Minnesota, US
Lake Island South, Carlton, Cromwell, Minnesota, US
Lake Itasca, Clearwater, Lake Itasca, Minnesota, US
Lake Jack the Horse, Itasca, Marcell, Minnesota, US
